type,time,channel,note,velocity,pitch 
pitchwheel,13.017152070999146,0,,,-51
note_on,13.01728892326355,0,64,127,
pitchwheel,13.019031047821045,4,,,-14
note_on,13.019259929656982,4,45,63,
note_off,13.020627975463867,1,67,64,
pitchwheel,13.046430826187134,1,,,27
note_on,13.04678988456726,1,66,127,
pitchwheel,13.048357963562012,0,,,-15
note_off,13.05189299583435,2,55,64,
pitchwheel,13.072622776031494,2,,,7
note_on,13.073163986206055,2,62,127,
pitchwheel,13.087740898132324,4,,,-58
pitchwheel,13.088472843170166,5,,,-1781
pitchwheel,13.101719856262207,1,,,-238
note_off,13.10367488861084,2,62,64,
pitchwheel,13.115755081176758,4,,,-24
pitchwheel,13.12567400932312,5,,,-2747
pitchwheel,13.148920774459839,2,,,-24
note_on,13.149302005767822,2,58,127,
note_off,13.153609991073608,0,64,64,
pitchwheel,13.167693853378296,2,,,1393
note_off,13.187656879425049,1,66,64,
pitchwheel,13.26080584526062,1,,,11
note_on,13.261100053787231,1,65,127,
note_off,13.303721904754639,1,65,64,
pitchwheel,13.350482940673828,1,,,-63
note_on,13.35090684890747,1,65,127,
note_off,13.387667894363403,1,65,64,
pitchwheel,13.422658681869507,1,,,-17
note_on,13.423041105270386,1,65,127,
note_off,13.457890748977661,2,58,64,
pitchwheel,13.540653705596924,2,,,25
note_on,13.541083812713623,2,55,127,
pitchwheel,13.542068004608154,4,,,0
pitchwheel,13.563690900802612,2,,,0
pitchwheel,13.581451892852783,4,,,-63
pitchwheel,13.59745192527771,1,,,117
note_off,13.643686771392822,1,65,64,
pitchwheel,13.645212888717651,1,,,11
note_on,13.645627975463867,1,65,127,
pitchwheel,13.653717041015625,4,,,0
pitchwheel,13.6575608253479,1,,,0
note_off,13.68760871887207,1,65,64,
pitchwheel,13.69560194015503,4,,,-83
pitchwheel,13.750476837158203,1,,,51
note_on,13.75077772140503,1,64,80,
pitchwheel,13.757420778274536,4,,,-27
note_off,13.815635919570923,1,64,64,
pitchwheel,13.817361831665039,1,,,12
note_on,13.817688703536987,1,64,127,
pitchwheel,13.836528778076172,0,,,21
note_on,13.837069749832153,0,64,14,
note_off,13.845695972442627,4,45,64,
note_off,13.855752944946289,2,55,64,
pitchwheel,13.857547044754028,2,,,-25
note_on,13.857578039169312,2,55,127,
pitchwheel,13.867694854736328,0,,,0
note_off,13.877501010894775,0,64,64,
note_off,13.883862972259521,5,48,64,
pitchwheel,13.89383602142334,2,,,0
pitchwheel,13.918660879135132,4,,,-101
note_on,13.91916275024414,4,48,127,
pitchwheel,13.965802907943726,4,,,-45
note_off,13.973588943481445,1,64,64,
pitchwheel,14.002398014068604,0,,,-18
note_on,14.00251293182373,0,64,14,
pitchwheel,14.020650863647461,1,,,7
note_on,14.020930767059326,1,64,127,
note_off,14.065740823745728,1,64,64,
pitchwheel,14.100721836090088,1,,,-21
